iter	RMSE
0	2.400799547
1	2.371453945
2	2.34772083
3	2.327364667
4	2.309025779
5	2.294148224
6	2.281696073
7	2.270699019
8	2.262102091
9	2.254339139
10	2.248081771
11	2.242641987
12	2.237976318
13	2.231561135
14	2.226372945
15	2.221695146
16	2.217787652
17	2.214336607
18	2.211370333
19	2.208954852
20	2.20665354
21	2.204572477
22	2.202798716
23	2.200998321
24	2.199302329
25	2.197856573
26	2.196440577
27	2.195205802
28	2.194292891
29	2.193413817
30	2.19269275
31	2.191841622
32	2.190946216
33	2.19043306
34	2.189298952
35	2.188136385
36	2.187177969
37	2.186322257
38	2.185639479
39	2.184781211
40	2.183959036
41	2.183306172
42	2.182262912
43	2.181649151
44	2.180807912
45	2.18050484
46	2.179564303
47	2.178784971
48	2.178149003
49	2.17785162
50	2.177260116
51	2.176541721
52	2.175935626
53	2.175723587
54	2.175682269
55	2.175294461
56	2.174722366
57	2.174055628
58	2.173618116
59	2.173032484
60	2.172505466
61	2.171742322
62	2.170889197
63	2.170330397
64	2.170019562
65	2.16944092
66	2.169069899
67	2.168583073
68	2.16755126
69	2.166968243
70	2.166721989
71	2.165946138
72	2.165531295
73	2.165163593
74	2.164919002
75	2.164358087
76	2.164045721
77	2.163623976
78	2.163023854
79	2.162814622
80	2.162188864
81	2.161863316
82	2.161375364
83	2.160298651
84	2.159993421
85	2.159492954
86	2.15868666
87	2.158158463
88	2.157853086
89	2.157689629
90	2.156871637
91	2.156590976
92	2.156393215
93	2.155785319
94	2.155268966
95	2.154768633
96	2.154445902
97	2.154165251
98	2.153991313
99	2.153851178
100	2.153527527
101	2.153040043
102	2.152677589
103	2.152213453
104	2.151850315
105	2.150964142
106	2.150802913
107	2.15049591
108	2.150127909
109	2.149454168
110	2.14918203
111	2.148692674
112	2.148465941
113	2.148011354
114	2.147493605
115	2.146907424
116	2.146801207
117	2.146594063
118	2.145925573
119	2.145336368
120	2.144866014
121	2.144065768
122	2.143905458
123	2.142772589
124	2.142447635
125	2.141648444
126	2.141269318
127	2.140987534
128	2.140261807
129	2.140039562
130	2.139482968
131	2.138934308
132	2.138800291
133	2.138253685
134	2.137608837
135	2.137155808
136	2.136913724
137	2.136196141
138	2.135373588
139	2.134885276
140	2.134646188
141	2.134105234
142	2.133507248
143	2.132896378
144	2.132008525
145	2.131632607
146	2.131301881
147	2.130344863
148	2.130180032
149	2.129499258
150	2.128822393
151	2.128521199
152	2.127979962
153	2.127587967
154	2.126955143
155	2.126501253
156	2.126367105
157	2.125902683
158	2.125751447
159	2.125492539
160	2.12497963
161	2.124337712
162	2.124036729
163	2.123521374
