iter	Passed	Remaining
0	516	2583860
1	952	2380134
2	1391	2317844
3	1883	2352502
4	2424	2422016
5	2955	2459845
6	3412	2434176
7	3931	2452993
8	4364	2420536
9	4748	2369429
10	5281	2395387
11	5736	2384486
12	6243	2395071
13	6711	2390400
14	7209	2395814
15	7710	2401900
16	8228	2411950
17	8835	2445331
18	9359	2453686
19	9866	2456810
20	10416	2469586
21	10983	2485222
22	11608	2512059
23	12203	2530196
24	12784	2544205
25	13312	2546877
26	13876	2555928
27	14521	2578646
28	15171	2600581
29	15849	2625708
30	16408	2630185
31	16958	2632881
32	17530	2638567
33	18240	2664146
34	18893	2680149
35	19470	2684717
36	20005	2683374
37	20674	2699612
38	21175	2693583
39	21631	2682298
40	22263	2692798
41	22402	2644523
42	22932	2643666
43	23580	2656010
44	24219	2666822
45	24842	2675410
46	25340	2670501
47	25967	2679018
48	26561	2683838
49	27342	2706948
50	27897	2707149
51	28538	2715549
52	29181	2723756
53	29873	2736206
54	30453	2738035
55	31088	2744711
56	31708	2749732
57	32252	2748164
58	32776	2744871
59	33002	2717218
60	33653	2724847
61	34383	2738448
62	34883	2733657
63	35032	2701878
64	35655	2707040
65	36347	2717256
66	37000	2724259
67	37700	2734398
68	38340	2739926
69	38916	2740838
70	39519	2743533
71	40164	2749044
72	40711	2747721
73	41281	2748030
74	41429	2720561
75	42061	2725116
76	42644	2726479
77	43148	2722762
78	43721	2723480
79	44297	2724311
80	44969	2730924
81	45763	2744716
82	46363	2746634
83	47052	2753706
84	47660	2755922
85	48306	2760196
86	48969	2765382
87	49583	2767661
88	50173	2768566
89	50981	2781321
90	51592	2783148
91	52218	2785730
92	52805	2786178
93	53312	2782434
94	53952	2785629
95	54630	2790727
96	55261	2793253
97	55916	2796985
98	56520	2798053
99	57208	2803226
100	57832	2805154
101	58608	2814351
102	59399	2824087
103	59920	2820875
104	60585	2824417
105	61289	2829730
106	62014	2835869
107	62657	2838134
108	63163	2834266
109	63847	2838329
110	64426	2837657
111	65117	2841927
112	65807	2846035
113	66443	2847761
114	67117	2851042
115	67788	2854121
116	68419	2855472
117	69006	2854994
118	69625	2855807
119	70271	2857708
120	70880	2858048
121	71552	2860945
122	72318	2867450
123	72946	2868449
124	73546	2868295
125	74300	2874142
126	74366	2853464
127	74929	2852021
128	75672	2857365
129	76286	2857813
130	77045	2863627
131	78012	2876996
132	78728	2880985
133	79305	2879864
134	80068	2885443
135	80694	2886009
136	81465	2891725
137	82182	2895440
138	82853	2897494
139	83487	2898200
140	84124	2898997
141	84547	2892490
142	85310	2897562
143	85944	2898231
144	86493	2896048
145	87074	2894944
146	87795	2898442
147	88484	2900868
148	89162	2902876
149	89864	2905603
150	90497	2906099
151	91099	2905607
152	91742	2906376
153	92315	2904946
154	92967	2905976
155	93498	2903239
156	94169	2904856
157	94825	2905991
158	95435	2905667
159	96130	2907939
160	96908	2912673
161	97509	2912045
162	98171	2913231
163	98911	2916696
164	99537	2916751
165	100049	2913482
166	100660	2913133
167	101230	2911591
168	101823	2910715
169	102483	2911746
170	103093	2911340
171	103683	2910367
172	104235	2908352
173	104782	2906210
174	105436	2907041
175	105991	2905141
176	106624	2905359
177	107217	2904503
178	107776	2902741
179	108421	2903286
180	109020	2902603
181	109579	2900851
182	110368	2905153
183	111080	2907422
184	111753	2908608
185	112529	2912457
186	113050	2909681
187	113683	2909805
188	114402	2912111
189	114884	2908399
190	115507	2908257
191	116276	2911769
192	117114	2916944
193	117610	2913591
194	118258	2914003
195	118965	2915868
196	119542	2914526
197	120285	2917225
198	120902	2916852
199	121557	2917388
200	122228	2918292
201	122774	2916207
202	123451	2917223
203	124083	2917169
204	124686	2916439
205	125276	2915423
206	125920	2915628
207	126648	2917794
208	127268	2917442
209	127849	2916191
210	128431	2914960
211	129002	2913501
212	129588	2912404
213	130310	2914333
214	130915	2913624
215	131595	2914602
216	132218	2914299
217	132717	2911267
218	133314	2910385
219	133997	2911394
220	134743	2913757
221	135350	2913079
222	135985	2913022
223	136723	2915133
224	137400	2915933
225	137954	2914136
226	138602	2914320
227	139075	2910825
228	139576	2907952
229	140285	2909408
230	140887	2908623
231	141541	2908920
232	142281	2910970
233	143011	2912782
234	143605	2911840
235	144168	2910246
236	144752	2909096
237	145439	2910020
238	146047	2909348
239	146716	2909874
240	147492	2912512
241	148156	2912919
242	148739	2911734
243	149212	2908410
244	149804	2907425
245	150435	2907197
246	151205	2909640
247	151770	2908125
248	152318	2906295
249	152892	2904952
250	153680	2907686
251	154217	2905647
252	155003	2908302
253	155680	2908898
254	156405	2910370
255	156939	2908285
256	157537	2907388
257	158166	2907076
258	159030	2911056
259	159647	2910489
260	160355	2911583
261	161045	2912350
262	161682	2912131
263	162317	2911874
264	162851	2909824
265	163537	2910473
266	164141	2909669
267	164804	2909897
268	165516	2911005
269	166135	2910450
270	166754	2909888
271	167460	2910865
272	168125	2911092
273	168838	2912156
274	169423	2910998
275	169995	2909631
276	170544	2907875
277	171180	2907602
278	171791	2906907
279	172427	2906632
280	173068	2906450
281	173810	2907936
282	174472	2908085
283	175120	2907984
284	175665	2906178
285	176337	2906479
286	176877	2904613
287	177553	2904964
288	178262	2905868
289	178873	2905154
290	179611	2906493
291	180343	2907732
292	180991	2907601
293	181612	2907040
294	182218	2906233
295	182807	2905163
296	183408	2904273
297	183974	2902845
298	184593	2902258
299	184785	2894975
300	185353	2893603
301	186042	2894138
302	186767	2895210
303	187365	2894300
304	188041	2894612
305	188699	2894619
306	189325	2894152
307	190012	2894601
308	190580	2893243
309	191155	2892003
310	191841	2892434
311	192565	2893424
312	193181	2892785
313	193772	2891779
314	194482	2892543
315	195110	2892076
316	195754	2891854
317	196382	2891398
318	196894	2889219
319	197533	2888933
320	198171	2888608
321	198904	2889678
322	199549	2889445
323	200183	2889065
324	200792	2888318
325	201493	2888902
326	202092	2888006
327	202609	2885944
328	203268	2885911
329	203859	2884919
330	204489	2884475
331	205050	2883062
332	205638	2882026
333	206237	2881148
334	206799	2879765
335	207372	2878523
336	208115	2879655
337	208774	2879610
338	209471	2880081
339	210043	2878826
340	210699	2878732
341	211312	2878047
342	211856	2876429
343	212645	2878127
344	213213	2876843
345	213862	2876635
346	214427	2875299
347	215195	2876691
348	215764	2875422
349	216521	2876646
350	217207	2876922
351	217861	2876763
352	218425	2875426
353	219130	2875931
354	219714	2874854
355	220288	2873652
356	220830	2872033
357	221402	2870810
358	222033	2870359
359	222633	2869492
360	223122	2867218
361	223946	2869243
362	224687	2870182
363	225362	2870272
364	225853	2868027
365	226415	2866694
366	227106	2866987
367	227692	2865959
368	228212	2864099
369	228866	2863925
370	229545	2864061
371	230134	2863071
372	230638	2861026
373	231040	2857737
374	231626	2856721
375	232450	2858647
376	233081	2858186
377	233624	2856644
378	234248	2856104
379	234918	2856111
380	235610	2856385
381	236208	2855527
382	236931	2856164
383	237468	2854568
384	238027	2853242
385	238690	2853150
386	239279	2852188
387	239839	2850872
388	240486	2850602
389	241134	2850339
390	241888	2851317
391	242593	2851706
392	243324	2852411
393	243984	2852261
394	244755	2853410
395	245279	2851679
396	245919	2851307
397	246732	2852919
398	247261	2851255
399	247952	2851458
400	248532	2850376
401	249283	2851252
402	249895	2850541
403	250586	2850737
404	251294	2851103
405	251965	2851058
406	252632	2850959
407	253226	2850039
408	253872	2849708
409	254426	2848334
410	255124	2848575
411	255686	2847304
412	256191	2845400
413	257006	2846934
414	257695	2847072
415	258444	2847861
416	259107	2847699
417	259783	2847679
418	260424	2847264
419	260970	2845826
420	261586	2845138
421	262019	2842473
422	262658	2842053
423	263309	2841759
424	263926	2841095
425	264456	2839495
426	265165	2839820
427	265819	2839548
428	266419	2838707
429	267136	2839096
430	267752	2838421
431	268405	2838142
432	268996	2837198
433	269605	2836452
434	270295	2836551
435	270993	2836732
436	271560	2835537
437	272186	2834967
438	272983	2836164
439	273461	2834053
440	274051	2833104
441	274599	2831726
442	275308	2832011
443	275905	2831142
444	276564	2830902
445	277134	2829755
446	277724	2828812
447	278387	2828617
448	279079	2828709
449	279646	2827532
450	280355	2827798
451	281010	2827508
452	281619	2826758
453	282207	2825804
454	282888	2825777
455	283481	2824872
456	283991	2823134
457	284627	2822657
458	285322	2822763
459	285893	2821646
460	286632	2822177
461	287265	2821670
462	288078	2822921
463	288791	2823188
464	289475	2823159
465	290072	2822292
466	290871	2823379
467	291577	2823566
468	292115	2822120
469	292677	2820911
470	293216	2819485
471	293895	2819407
472	294480	2818419
473	295034	2817146
474	295487	2814903
475	296200	2815153
476	296972	2815949
477	297495	2814386
478	298246	2814977
479	298935	2814977
480	299593	2814686
481	300269	2814555
482	301038	2815305
483	301642	2814501
484	302218	2813432
485	302713	2811627
486	303377	2811377
487	303997	2810734
488	304658	2810457
